Part_No	Part_Type	Part_Category	Description	Manufacturer	Cylinders	Liters	CCs	Stroke	Rod	Main	Front_Seal_Dia	Rear_Seal_Dia	Bore	Connect_Rod_Len	Camshaft	Valves	Casting_No	Trans_Speed	Trans_Type	Notes	Application_Start_Yr	Application_End_Yr	Metal	KB_Product_Code	On_Hand	Price
CKDC33A	Engine Part	Crankshaft	3654 *O12 V6 2ND CWT. ROUNDED	"Dodge, Chrysler"		3.3L														FI					Call for inventory	40
CKDC35A	Engine Part	Crankshaft	A1D+ *S24 3.2 & 3.5L V6	"Dodge, Chrysler"		3.5L														FI					Call for inventory	75
CKDC37A	Engine Part	Crankshaft	479+ *O12 EARLY 225CID I6 +492	"Dodge, Chrysler"		3.7L														C					Call for inventory	25
CKDC37B	Engine Part	Crankshaft	"""935+ *O12 WIDE ROD,225CID I6 +"""	"Dodge, Chrysler"		3.7L														C					Call for inventory	25
CKDC37D	Engine Part	Crankshaft	"""966+ *O12 1""""ROD,225CID I6 +246"""	"Dodge, Chrysler"		3.7L														C					Call for inventory	25
CKDC37E	Engine Part	Crankshaft	957AB*S12 LATE JEEP V6	"Dodge, Chrysler"		3.7L														FI					Call for inventory	75
CKDC38A	Engine Part	Crankshaft	433+ *O12 V6 2ND CWT.HAS FLAT	"Dodge, Chrysler"		3.8L														FI					Call for inventory	75
CKDC39A	Engine Part	Crankshaft	769 *O12 V6	"Dodge, Chrysler"		3.9L														FI					Call for inventory	60
CKDC47A	Engine Part	Crankshaft	683+ *S16 LATE JEEP V8 +409AA	"Dodge, Chrysler"		4.7L														FI					Call for inventory	100
CKDC52A	Engine Part	Crankshaft	841+ *O16 318 CID CAST + 869+	"Dodge, Chrysler"		5.2L																			Call for inventory	25
CKDC52S	Engine Part	Crankshaft	457+ *O16 318 CID STEEL	"Dodge, Chrysler"		5.2L																			Call for inventory	75
CKDC57AA	Engine Part	Crankshaft	--- *O16 MAGNUM HEMI S/C SRT-	"Dodge, Chrysler"		5.7L														FI					Call for inventory	100
CKDC59A	Engine Part	Crankshaft	169+ *O16 360 CID +640	"Dodge, Chrysler"		5.9L																			Call for inventory	40
CKDC59AA	Engine Part	Crankshaft	157 *O16 361 CID - 8 BOLT	"Dodge, Chrysler"		5.9L														C					Call for inventory	60
